sentence,polarity,subjectivity,sentiment
"in Europe green dark grey in the European Union green Legend Sweden, f formally the Kingdom of Sweden, g h is a Nordic country located on the Scandinavian Peninsula in Northern Europe.",-0.12,0.21999999999999997,negative
"It borders Norway to the west and north, and Finland to the east.",0.0,0.0,neutral
"At 450,295 square kilometres 173,860 sq mi , Sweden is the largest Nordic country and the fifth largest country in Europe.",0.0,0.0,neutral
Its capital and largest city is Stockholm.,0.0,0.0,neutral
"Sweden has a population of 10.6 million, and a low population density of 25.5 inhabitants per square kilometre 66 sq mi ; 88 of Swedes reside in urban areas.",0.0,0.15,neutral
They are mostly in the central and southern half of the country.,0.08333333333333334,0.22916666666666666,positive
Sweden s urban areas together cover 1.5 of its land area.,0.0,0.0,neutral
"Sweden has a diverse climate owing to the length of the country, which ranges from 55 N to 69 N. Sweden has been inhabited since prehistoric times around 12,000 BC.",0.0,0.0,neutral
"The inhabitants emerged as the Geats Swedish: Götar and Swedes Svear , which were part of the sea faring peoples known as the Norsemen.",0.0,0.0,neutral
A unified Swedish state was established during the late 10th century.,-0.3,0.6,negative
"In 1397, Sweden joined Norway and Denmark to form the Scandinavian Kalmar Union, which Sweden left in 1523.",0.0,0.0,neutral
"When Sweden became involved in the Thirty Years War on the Protestant side, an expansion of its territories began, forming the Swedish Empire, which remained one of the great powers of Europe until the early 18th century.",0.45,0.525,positive
During this era Sweden controlled much of the Baltic Sea.,0.2,0.2,positive
Most of the conquered territories outside the Scandinavian Peninsula were lost during the 18th and 19th centuries.,0.25,0.275,positive
"The eastern half of Sweden, present day Finland, was lost to Imperial Russia in 1809.",-0.08333333333333333,0.08333333333333333,negative
"The last war in which Sweden was directly involved was in 1814, when Sweden by military means forced Norway into a personal union, a union which lasted until 1905.",-0.06000000000000001,0.21333333333333332,negative
Sweden is a highly developed country ranked fifth in the Human Development Index.,0.05,0.2,neutral
"It is a constitutional monarchy and a parliamentary democracy, with legislative power vested in the 349 member unicameral Riksdag.",0.0,0.0,neutral
"It is a unitary state, divided into 21 counties and 290 municipalities.",0.0,0.0,neutral
Sweden maintains a Nordic social welfare system that provides universal health care and tertiary education for its citizens.,0.016666666666666666,0.03333333333333333,neutral
"It has the world s 14th highest GDP per capita and ranks very highly in quality of life, health, education, protection of civil liberties, economic competitiveness, income equality, gender equality and prosperity.",0.20400000000000001,0.45100000000000007,positive
Sweden joined the European Union on 1 January 1995 and NATO on 7 March 2024.,0.0,0.0,neutral
"It is also a member of the United Nations, the Schengen Area, the Council of Europe, the Nordic Council, the World Trade Organization and the Organisation for Economic Co operation and Development OECD .",0.2,0.2,positive
"The name for Sweden is generally agreed to derive from the Proto Indo European root s w e, meaning one s own , referring to one s own tribe from the tribal period.",0.3125,0.625,positive
"The native Swedish name, Sverige a compound of the words Svea and rike, first recorded in the cognate Swēorice in Beowulf , translates as realm of the Swedes , which excluded the Geats in Götaland.",0.25,0.3333333333333333,positive
The contemporary English variation was derived in the 17th century from Middle Dutch and Middle Low German.,0.027777777777777776,0.07777777777777778,neutral
"As early as 1287, references are found in Middle Dutch referring to a lande van sweden land of the Swedes , with swede as the singular form.",0.05,0.15,neutral
"In Old English the country was known as Swéoland or Swíoríce, and in Early Modern English as Swedeland.",0.08,0.16,positive
"Some Finnic languages, such as Finnish and Estonian, use the terms Ruotsi and Rootsi; these variations refer to the Rus people who inhabited the coastal areas of Roslagen in Uppland and who gave their name to Russia.",0.0,0.5,neutral
"Sweden s prehistory begins in the Allerød oscillation, a warm period around 12,000 BC, with Late Palaeolithic reindeer hunting camps of the Bromme culture at the edge of the ice in what is now the country s southernmost province, Scania.",0.15,0.6,positive
This period was characterised by small clans of hunter gatherers who relied on flint technology.,-0.25,0.4,negative
Sweden and its people were first described by Publius Cornelius Tacitus in his Germania 98 AD .,0.25,0.3333333333333333,positive
In Germania 44 and 45 he mentions the Swedes Suiones as a powerful tribe with ships that had a prow at each end longships .,0.3,1.0,positive
"Which kings kuningaz ruled these Suiones is unknown, but Norse mythology presents a long line of legendary and semi legendary kings going back to the last centuries BC.",0.30833333333333335,0.5111111111111112,positive
"The runic script was in use among the south Scandinavian elite by at least the second century AD, but all that has survived from the Roman Period is curt inscriptions demonstrating that the people of south Scandinavia spoke Proto Norse at the time, a language ancestral to Swedish and other North Germanic languages.",-0.14166666666666666,0.25833333333333336,negative
"In the sixth century, Jordanes names two tribes living in Scandza, both of which are now considered to be synonymous with the Swedes: the Suetidi and Suehans.",0.0,0.0,neutral
"The Suehans were known to the Roman world as suppliers of black fox skins and, according to Jordanes, had very fine horses, similar to those of the Thyringi of Germania alia vero gens ibi moratur Suehans, quae velud Thyringi equis utuntur eximiis .",0.12500000000000003,0.49444444444444446,positive
The Swedish Viking Age lasted roughly from the eighth century to the 11th century.,-0.1,0.4,negative
"It is believed that Swedish Vikings and Gutar mainly travelled east and south, going to Finland, Estonia, the Baltic countries, Russia, Belarus, Ukraine, the Black Sea and even as far as Baghdad.",0.03333333333333333,0.5888888888888889,neutral
"Their routes passed through the Dnieper south to Constantinople, on which they carried out numerous raids.",0.0,0.5,neutral
"The Byzantine Emperor Theophilos noticed their great skills in war, and invited them to serve as his personal bodyguard, known as the Varangian Guard.",0.4,0.525,positive
